Designator,Mid X,Mid Y,Rotation,Layer
LED60,312.68275,-178.422,180.0,bottom
LED61,336.49525,-178.422,180.0,bottom
LED7,186.4765,-102.222,180.0,bottom
LED8,205.5265,-102.222,180.0,bottom
LED9,224.5765,-102.222,180.0,bottom
PMIC1,164.8935,-172.504,180.0,bottom
R1,166.601,-165.0968,270.0,bottom
R2,165.1512,-166.4196,180.0,bottom
R3,168.9867,-167.9182,180.0,bottom
R8,65.4395,-103.147,0.0,bottom
S1,72.1765,-96.722,0.0,bottom
S10,243.6265,-96.722,0.0,bottom
S11,262.6765,-96.722,0.0,bottom
S12,281.7265,-96.722,0.0,bottom
S13,300.7765,-96.722,0.0,bottom
S14,329.3515,-96.722,0.0,bottom
S15,76.939,-115.772,0.0,bottom
S16,100.7515,-115.772,0.0,bottom
S17,119.8015,-115.772,0.0,bottom
S18,138.8515,-115.772,0.0,bottom
S19,157.9015,-115.772,0.0,bottom
S2,91.2265,-96.722,0.0,bottom
S20,176.9515,-115.772,0.0,bottom
S21,196.0015,-115.772,0.0,bottom
S22,215.0515,-115.772,0.0,bottom
S23,234.1015,-115.772,0.0,bottom
S24,253.1515,-115.772,0.0,bottom
S25,272.2015,-115.772,0.0,bottom
S26,291.2515,-115.772,0.0,bottom
S27,310.3015,-115.772,0.0,bottom
S28,334.114,-115.772,0.0,bottom
S29,79.32025,-134.822,0.0,bottom
S3,110.2765,-96.722,0.0,bottom
S30,105.514,-134.822,0.0,bottom
S31,124.564,-134.822,0.0,bottom
S32,143.614,-134.822,0.0,bottom
S33,162.664,-134.822,0.0,bottom
S34,181.714,-134.822,0.0,bottom
S35,200.764,-134.822,0.0,bottom
S36,219.814,-134.822,0.0,bottom
S37,238.864,-134.822,0.0,bottom
S38,257.914,-134.822,0.0,bottom
S39,276.964,-134.822,0.0,bottom
S4,129.3265,-96.722,0.0,bottom
S40,296.014,-134.822,0.0,bottom
S41,326.97025,-134.822,0.0,bottom
S42,84.08,-153.87,0.0,bottom
S43,115.039,-153.872,0.0,bottom
S44,134.089,-153.872,0.0,bottom
S45,153.139,-153.872,0.0,bottom
S46,172.189,-153.872,0.0,bottom
S47,191.239,-153.872,0.0,bottom
S48,210.289,-153.872,0.0,bottom
S49,229.339,-153.872,0.0,bottom
S5,148.3765,-96.722,0.0,bottom
S50,248.389,-153.872,0.0,bottom
S51,267.439,-153.872,0.0,bottom
S52,286.489,-153.872,0.0,bottom
S53,322.2522,-153.872,0.0,bottom
S54,74.55775,-172.922,0.0,bottom
S55,98.37025,-172.922,0.0,bottom
S56,122.18275,-172.922,0.0,bottom
S57,193.62025,-172.922,0.0,bottom
S58,265.05775,-172.922,0.0,bottom
S59,288.87025,-172.922,0.0,bottom
S6,167.4265,-96.722,0.0,bottom
S60,312.68275,-172.922,0.0,bottom
S61,336.49525,-172.922,0.0,bottom
S7,186.4765,-96.722,0.0,bottom
S8,205.5265,-96.722,0.0,bottom
S9,224.5765,-96.722,0.0,bottom
U2,62.951,-103.655,180.0,bottom
U3,227.6165,-172.16,270.0,bottom
Y1,221.19,-176.9771,90.0,bottom
Y2,225.529,-165.062,180.0,bottom
