Designator,Mid X,Mid Y,Rotation,Layer
D8,107.0205,-117.29136,90.0,bottom
D9,111.783,-136.34136,90.0,bottom
FB1,299.52,-147.7,0.0,bottom
GND,148.22,-168.4,270.0,top
H1,87.02,-109.0,0.0,top
H2,100.32,-152.95,0.0,top
H3,322.27,-168.0,0.0,bottom
H4,319.72,-111.9,0.0,top
H5,151.82,-127.0,0.0,top
H6,228.12,-127.0,0.0,top
J1,90.17,-140.4,0.0,bottom
J2,250.02,-174.0,180.0,top
J4,306.62,-136.975,180.0,bottom
J5,234.795,-171.2,90.0,bottom
L1,155.27,-174.6875,90.0,bottom
L2,230.409,-176.25,180.0,bottom
L3,232.565,-176.25,180.0,bottom
LED1,70.4455,-102.74136,180.0,bottom
LED10,96.63925,-178.94136,180.0,bottom
LED11,108.5455,-102.74136,180.0,bottom
LED12,118.0705,-121.79136,180.0,bottom
LED13,122.833,-140.84136,180.0,bottom
LED14,132.358,-159.89136,180.0,bottom
LED15,120.45175,-178.94136,180.0,bottom
LED16,127.5955,-102.74136,180.0,bottom
LED17,137.1205,-121.79136,180.0,bottom
LED18,141.883,-140.84136,180.0,bottom
LED19,151.408,-159.89136,180.0,bottom
LED2,75.208,-121.79136,180.0,bottom
LED20,191.88925,-178.94136,180.0,bottom
LED21,146.6455,-102.74136,180.0,bottom
LED22,156.1705,-121.79136,180.0,bottom
LED23,160.933,-140.84136,180.0,bottom
LED24,170.458,-159.89136,180.0,bottom
LED25,263.32675,-178.94136,180.0,bottom
LED26,165.6955,-102.74136,180.0,bottom
LED27,175.2205,-121.79136,180.0,bottom
LED28,179.983,-140.84136,180.0,bottom
LED29,189.508,-159.89136,180.0,bottom
LED3,77.58925,-140.84136,180.0,bottom
LED30,287.13925,-178.94136,180.0,bottom
LED31,184.7455,-102.74136,180.0,bottom
LED32,194.2705,-121.79136,180.0,bottom
LED33,199.033,-140.84136,180.0,bottom
LED34,208.558,-159.89136,180.0,bottom
LED35,310.95175,-178.94136,180.0,bottom
LED36,203.7955,-102.74136,180.0,bottom
LED37,213.3205,-121.79136,180.0,bottom
LED38,218.083,-140.84136,180.0,bottom
LED39,227.608,-159.89136,180.0,bottom
LED4,82.35175,-159.89136,180.0,bottom
LED40,334.76425,-178.94136,180.0,bottom
LED41,222.8455,-102.74136,180.0,bottom
LED42,232.3705,-121.79136,180.0,bottom
LED43,237.133,-140.84136,180.0,bottom
LED44,246.658,-159.89136,180.0,bottom
LED45,241.8955,-102.74136,180.0,bottom
LED46,251.4205,-121.79136,180.0,bottom
LED47,256.183,-140.84136,180.0,bottom
LED48,265.758,-159.89136,180.0,bottom
LED49,260.9455,-102.74136,180.0,bottom
LED5,72.82675,-178.94136,180.0,bottom
LED50,270.4705,-121.79136,180.0,bottom
LED51,275.233,-140.84136,180.0,bottom
LED52,284.808,-159.89136,180.0,bottom
LED53,279.9955,-102.74136,180.0,bottom
LED54,289.5205,-121.79136,180.0,bottom
LED55,294.283,-140.84136,180.0,bottom
LED56,320.52675,-159.89136,180.0,bottom
LED57,299.0455,-102.74136,180.0,bottom
LED58,308.5705,-121.79136,180.0,bottom
LED59,325.23925,-140.84136,180.0,bottom
LED6,89.4955,-102.74136,180.0,bottom
LED60,327.6205,-102.74136,180.0,bottom
LED61,332.383,-121.79136,180.0,bottom
LED7,99.0205,-121.79136,180.0,bottom
LED8,103.783,-140.84136,180.0,bottom
LED9,113.308,-159.89136,180.0,bottom
PMIC,161.52,-174.0,180.0,bottom
Q1,161.02,-165.0,270.0,bottom
R1,166.9325,-170.0,0.0,bottom
R2,165.02,-167.49,90.0,bottom
R3,163.52,-167.49,90.0,bottom
R4,161.42,-167.5,180.0,bottom
R5,135.52,-173.5,180.0,bottom
R6,228.43,-168.75,180.0,bottom
S1,70.4455,-97.24136,0.0,bottom
S10,108.5455,-97.24136,0.0,bottom
S11,118.0705,-116.29136,0.0,bottom
S12,122.833,-135.34136,0.0,bottom
S13,113.308,-154.39136,0.0,bottom
S14,120.45175,-173.44136,0.0,bottom
S15,127.5955,-97.24136,0.0,bottom
S16,137.1205,-116.29136,0.0,bottom
S17,141.883,-135.34136,0.0,bottom
S18,132.358,-154.39136,0.0,bottom
S19,146.6455,-97.24136,0.0,bottom
S2,75.208,-116.29136,0.0,bottom
S20,156.1705,-116.29136,0.0,bottom
S21,160.933,-135.34136,0.0,bottom
S22,151.408,-154.39136,0.0,bottom
S23,165.6955,-97.24136,0.0,bottom
S24,175.2205,-116.29136,0.0,bottom
S25,179.983,-135.34136,0.0,bottom
S26,170.458,-154.39136,0.0,bottom
S27,184.7455,-97.24136,0.0,bottom
S28,194.2705,-116.29136,0.0,bottom
S29,199.033,-135.34136,0.0,bottom
S3,77.58925,-135.34136,0.0,bottom
S30,189.508,-154.39136,0.0,bottom
S31,191.8879,-173.44136,0.0,bottom
S32,203.7955,-97.24136,0.0,bottom
S33,213.3205,-116.29136,0.0,bottom
S34,218.083,-135.34136,0.0,bottom
S35,208.558,-154.39136,0.0,bottom
S36,222.8455,-97.24136,0.0,bottom
S37,232.3705,-116.29136,0.0,bottom
S38,237.133,-135.34136,0.0,bottom
S39,227.608,-154.39136,0.0,bottom
S4,82.349,-154.38936,0.0,bottom
S40,241.8955,-97.24136,0.0,bottom
S41,251.4205,-116.29136,0.0,bottom
S42,256.183,-135.34136,0.0,bottom
S43,246.658,-154.39136,0.0,bottom
S44,260.9455,-97.24136,0.0,bottom
S45,270.4705,-116.29136,0.0,bottom
S46,275.233,-135.34136,0.0,bottom
S47,265.708,-154.39136,0.0,bottom
S48,263.32675,-173.44136,0.0,bottom
S49,279.9955,-97.24136,0.0,bottom
S5,72.82675,-173.44136,0.0,bottom
S50,289.5205,-116.29136,0.0,bottom
S51,294.283,-135.34136,0.0,bottom
S52,284.758,-154.39136,0.0,bottom
S53,287.13925,-173.44136,0.0,bottom
S54,299.0455,-97.24136,0.0,bottom
S55,308.5705,-116.29136,0.0,bottom
S56,310.95175,-173.44136,0.0,bottom
S57,327.6205,-97.24136,0.0,bottom
S58,332.383,-116.29136,0.0,bottom
S59,325.23925,-135.34136,0.0,bottom
S6,89.4955,-97.24136,0.0,bottom
S60,320.47675,-154.39136,0.0,bottom
S61,334.76425,-173.44136,0.0,bottom
S7,99.0205,-116.29136,0.0,bottom
